dataset,seed,model,sampler,steps,nfe,sliced_w2,wall_s
8gaussians,0,1-rectified,euler,1,1,2.6412203311920166,0.008521249998011626
8gaussians,0,1-rectified,euler,2,2,0.5607919692993164,0.014422708001802675
8gaussians,0,1-rectified,euler,4,4,0.22762009501457214,0.03032070900371764
8gaussians,0,1-rectified,euler,8,8,0.1396966427564621,0.06172412500018254
8gaussians,0,1-rectified,euler,16,16,0.11050274223089218,0.12183437500789296
8gaussians,0,1-rectified,euler,32,32,0.10470262914896011,0.24138045799918473
8gaussians,0,1-rectified,euler,64,64,0.10595643520355225,0.4876999169937335
8gaussians,0,1-rectified,euler,128,128,0.10635869204998016,0.9703893750120187
8gaussians,0,1-rectified,heun,1,2,2.0855531692504883,0.017021708001266234
8gaussians,0,1-rectified,heun,2,4,0.2015811651945114,0.03082683299726341
8gaussians,0,1-rectified,heun,4,8,0.1094895526766777,0.06264616700354964
8gaussians,0,1-rectified,heun,8,16,0.1088433489203453,0.12222100001235958
8gaussians,0,1-rectified,heun,16,32,0.10664155334234238,0.24006183299934492
8gaussians,0,1-rectified,heun,32,64,0.10675486922264099,0.446817000003648
8gaussians,0,1-rectified,heun,64,128,0.10758689790964127,0.9481782090006163
8gaussians,0,1-rectified,rk4,1,4,0.32676297426223755,0.02742166700772941
8gaussians,0,1-rectified,rk4,2,8,0.12143304944038391,0.05348774998856243
8gaussians,0,1-rectified,rk4,4,16,0.1087757870554924,0.10780041699763387
8gaussians,0,1-rectified,rk4,8,32,0.10652168095111847,0.21410591700987425
8gaussians,0,1-rectified,rk4,16,64,0.1070910394191742,0.4292885409959126
8gaussians,0,1-rectified,rk4,32,128,0.1079355925321579,0.8566031249938533
8gaussians,0,2-rectified,euler,1,1,0.10938656330108643,0.006687665998470038
8gaussians,0,2-rectified,euler,2,2,0.10625546425580978,0.012969167000846937
8gaussians,0,2-rectified,euler,4,4,0.10434094071388245,0.02611383399926126
8gaussians,0,2-rectified,euler,8,8,0.1029973179101944,0.05237591700279154
8gaussians,0,2-rectified,euler,16,16,0.10363832116127014,0.1064839589962503
8gaussians,0,2-rectified,euler,32,32,0.10516691952943802,0.2187799579987768
8gaussians,0,2-rectified,euler,64,64,0.1056542694568634,0.43214766700111795
8gaussians,0,2-rectified,euler,128,128,0.10624918341636658,0.8667773749912158
8gaussians,0,2-rectified,heun,1,2,0.10951939970254898,0.013582375002442859
8gaussians,0,2-rectified,heun,2,4,0.10509003698825836,0.026731457997811958
8gaussians,0,2-rectified,heun,4,8,0.10337366908788681,0.05570408399216831
8gaussians,0,2-rectified,heun,8,16,0.1027611568570137,0.10954195800877642
8gaussians,0,2-rectified,heun,16,32,0.10490013659000397,0.2154106249945471
8gaussians,0,2-rectified,heun,32,64,0.10683825612068176,0.4256907919916557
8gaussians,0,2-rectified,heun,64,128,0.10674870014190674,0.9598247919930145
8gaussians,0,2-rectified,rk4,1,4,0.10391148924827576,0.032169582991627976
8gaussians,0,2-rectified,rk4,2,8,0.10297470539808273,0.06584874998952728
8gaussians,0,2-rectified,rk4,4,16,0.10286664217710495,0.12489737500436604
8gaussians,0,2-rectified,rk4,8,32,0.10608222335577011,0.255557124997722
8gaussians,0,2-rectified,rk4,16,64,0.10770712792873383,0.5107880419964204
8gaussians,0,2-rectified,rk4,32,128,0.10676658898591995,1.0235905000008643
8gaussians,0,diffusion-vp,euler,1,1,1.812764286994934,0.006676624994724989
8gaussians,0,diffusion-vp,euler,2,2,0.3223980665206909,0.01368062499386724
8gaussians,0,diffusion-vp,euler,4,4,0.16015565395355225,0.026405167009215802
8gaussians,0,diffusion-vp,euler,8,8,0.11784275621175766,0.053630875001545064
