dataset,seed,model,straightness_S,path_length_ratio_mean,path_length_ratio_p90,steps
8gaussians,0,1-rectified,2.917426586151123,1.0656495094299316,1.1181223392486572,100
8gaussians,0,2-rectified,0.0012116235448047519,1.000069499015808,1.0001246929168701,100
8gaussians,0,diffusion-vp,2.945051908493042,1.0486910343170166,1.1192468404769897,100
8gaussians,1,1-rectified,2.9473915100097656,1.0720866918563843,1.132946491241455,100
8gaussians,1,2-rectified,0.0009874023962765932,1.0000503063201904,1.0000958442687988,100
8gaussians,1,diffusion-vp,2.927539587020874,1.0473897457122803,1.1191258430480957,100
8gaussians,2,1-rectified,2.9272775650024414,1.0652951002120972,1.1198959350585938,100
8gaussians,2,2-rectified,0.0009824855951592326,1.000057339668274,1.000093698501587,100
8gaussians,2,diffusion-vp,2.9335196018218994,1.0481278896331787,1.1234124898910522,100
moons,0,1-rectified,1.6682215929031372,1.4328184127807617,1.7929069995880127,100
moons,0,2-rectified,0.00010796249262057245,1.0000700950622559,1.0000569820404053,100
moons,0,diffusion-vp,1.0122406482696533,1.2636992931365967,1.426300048828125,100
moons,1,1-rectified,1.6612091064453125,1.432692289352417,1.7796638011932373,100
moons,1,2-rectified,0.0001016389433061704,1.0000560283660889,1.0000412464141846,100
moons,1,diffusion-vp,1.0160505771636963,1.2446762323379517,1.4067234992980957,100
moons,2,1-rectified,1.6479370594024658,1.4096970558166504,1.7898433208465576,100
moons,2,2-rectified,0.00011436144268373027,1.0000526905059814,1.0000463724136353,100
moons,2,diffusion-vp,1.0064759254455566,1.2397582530975342,1.411715030670166,100
