dataset,seed,model,step,loss
8gaussians,0,1-rectified,0,9.386393547058105
8gaussians,0,1-rectified,500,3.7477307319641113
8gaussians,0,1-rectified,1000,3.075225353240967
8gaussians,0,1-rectified,1500,3.6625304222106934
8gaussians,0,1-rectified,2000,3.506256580352783
8gaussians,0,1-rectified,2500,4.027657508850098
8gaussians,0,1-rectified,3000,3.8510215282440186
8gaussians,0,1-rectified,3500,3.9457919597625732
8gaussians,0,1-rectified,4000,3.7787129878997803
8gaussians,0,1-rectified,4500,3.8317244052886963
8gaussians,0,1-rectified,5000,3.1205756664276123
8gaussians,0,1-rectified,5500,3.601011276245117
8gaussians,0,1-rectified,5999,3.099703788757324
8gaussians,0,2-rectified,0,3.956580638885498
8gaussians,0,2-rectified,500,0.011109106242656708
8gaussians,0,2-rectified,1000,0.0062365359626710415
8gaussians,0,2-rectified,1500,0.0018413977231830359
8gaussians,0,2-rectified,2000,0.002000553300604224
8gaussians,0,2-rectified,2500,0.0018466389738023281
8gaussians,0,2-rectified,3000,0.0016332396771758795
8gaussians,0,2-rectified,3500,0.0015578456223011017
8gaussians,0,2-rectified,4000,0.0006123805069364607
8gaussians,0,2-rectified,4500,0.0005682315095327795
8gaussians,0,2-rectified,5000,0.001065445365384221
8gaussians,0,2-rectified,5500,0.0004682352882809937
8gaussians,0,2-rectified,5999,0.0002504685253370553
8gaussians,0,diffusion-vp,0,11.370931625366211
8gaussians,0,diffusion-vp,500,5.917799949645996
8gaussians,0,diffusion-vp,1000,4.906974792480469
8gaussians,0,diffusion-vp,1500,5.846673965454102
8gaussians,0,diffusion-vp,2000,5.606000900268555
8gaussians,0,diffusion-vp,2500,6.393205642700195
8gaussians,0,diffusion-vp,3000,6.242290019989014
8gaussians,0,diffusion-vp,3500,6.555298805236816
8gaussians,0,diffusion-vp,4000,6.05219030380249
8gaussians,0,diffusion-vp,4500,5.99459171295166
8gaussians,0,diffusion-vp,5000,4.91608190536499
8gaussians,0,diffusion-vp,5500,5.748547077178955
8gaussians,0,diffusion-vp,5999,4.899195194244385
8gaussians,1,1-rectified,0,9.365985870361328
8gaussians,1,1-rectified,500,3.8612236976623535
8gaussians,1,1-rectified,1000,4.060672283172607
8gaussians,1,1-rectified,1500,3.6901726722717285
8gaussians,1,1-rectified,2000,3.8072409629821777
8gaussians,1,1-rectified,2500,3.654477596282959
8gaussians,1,1-rectified,3000,3.830937623977661
8gaussians,1,1-rectified,3500,3.5988502502441406
8gaussians,1,1-rectified,4000,3.4659476280212402
8gaussians,1,1-rectified,4500,3.4272878170013428
8gaussians,1,1-rectified,5000,3.6512434482574463
8gaussians,1,1-rectified,5500,3.4545440673828125
8gaussians,1,1-rectified,5999,3.798152446746826
8gaussians,1,2-rectified,0,3.9237709045410156
8gaussians,1,2-rectified,500,0.00922536663711071
8gaussians,1,2-rectified,1000,0.004445292521268129
8gaussians,1,2-rectified,1500,0.0032347128726541996
8gaussians,1,2-rectified,2000,0.0019012046977877617
8gaussians,1,2-rectified,2500,0.0011226299684494734
8gaussians,1,2-rectified,3000,0.0024918357376009226
8gaussians,1,2-rectified,3500,0.001036177040077746
8gaussians,1,2-rectified,4000,0.0005627281498163939
8gaussians,1,2-rectified,4500,0.00041429532575421035
8gaussians,1,2-rectified,5000,0.0008547410252504051
8gaussians,1,2-rectified,5500,0.0007680825656279922
8gaussians,1,2-rectified,5999,0.00032964994898065925
8gaussians,1,diffusion-vp,0,11.527099609375
8gaussians,1,diffusion-vp,500,6.307123184204102
8gaussians,1,diffusion-vp,1000,6.495147228240967
8gaussians,1,diffusion-vp,1500,5.588746547698975
8gaussians,1,diffusion-vp,2000,6.0709147453308105
8gaussians,1,diffusion-vp,2500,5.7625508308410645
8gaussians,1,diffusion-vp,3000,6.0605244636535645
8gaussians,1,diffusion-vp,3500,5.608578205108643
8gaussians,1,diffusion-vp,4000,5.404916763305664
8gaussians,1,diffusion-vp,4500,5.429558753967285
8gaussians,1,diffusion-vp,5000,5.622836112976074
8gaussians,1,diffusion-vp,5500,5.314108848571777
8gaussians,1,diffusion-vp,5999,6.014653205871582
8gaussians,2,1-rectified,0,9.143902778625488
8gaussians,2,1-rectified,500,3.5360283851623535
8gaussians,2,1-rectified,1000,3.749361515045166
8gaussians,2,1-rectified,1500,4.183018684387207
8gaussians,2,1-rectified,2000,3.7947399616241455
8gaussians,2,1-rectified,2500,4.095607757568359
8gaussians,2,1-rectified,3000,3.604386806488037
8gaussians,2,1-rectified,3500,3.662006378173828
8gaussians,2,1-rectified,4000,3.924370527267456
8gaussians,2,1-rectified,4500,3.900367259979248
8gaussians,2,1-rectified,5000,3.7556965351104736
8gaussians,2,1-rectified,5500,3.9158833026885986
8gaussians,2,1-rectified,5999,3.290998697280884
8gaussians,2,2-rectified,0,3.9651215076446533
8gaussians,2,2-rectified,500,0.010123920626938343
8gaussians,2,2-rectified,1000,0.00425757747143507
8gaussians,2,2-rectified,1500,0.002853088779374957
8gaussians,2,2-rectified,2000,0.0017492182087153196
8gaussians,2,2-rectified,2500,0.00253865635022521
8gaussians,2,2-rectified,3000,0.001336538465693593
8gaussians,2,2-rectified,3500,0.005751259159296751
8gaussians,2,2-rectified,4000,0.0006250255974009633
8gaussians,2,2-rectified,4500,0.000746797421015799
8gaussians,2,2-rectified,5000,0.0003003050514962524
8gaussians,2,2-rectified,5500,0.000411072134738788
8gaussians,2,2-rectified,5999,0.0006281685782596469
8gaussians,2,diffusion-vp,0,11.422883987426758
8gaussians,2,diffusion-vp,500,5.482942581176758
8gaussians,2,diffusion-vp,1000,5.9338274002075195
8gaussians,2,diffusion-vp,1500,6.814038276672363
8gaussians,2,diffusion-vp,2000,5.960393905639648
8gaussians,2,diffusion-vp,2500,6.46348762512207
8gaussians,2,diffusion-vp,3000,5.516440391540527
8gaussians,2,diffusion-vp,3500,5.908144474029541
8gaussians,2,diffusion-vp,4000,6.273819923400879
8gaussians,2,diffusion-vp,4500,6.132662296295166
8gaussians,2,diffusion-vp,5000,5.822539329528809
8gaussians,2,diffusion-vp,5500,6.111018180847168
8gaussians,2,diffusion-vp,5999,5.1836748123168945
moons,0,1-rectified,0,5.113920211791992
moons,0,1-rectified,500,3.00290584564209
moons,0,1-rectified,1000,2.7737250328063965
moons,0,1-rectified,1500,2.729671001434326
moons,0,1-rectified,2000,2.632352113723755
moons,0,1-rectified,2500,2.8067548274993896
moons,0,1-rectified,3000,2.7414517402648926
moons,0,1-rectified,3500,2.5614919662475586
moons,0,1-rectified,4000,2.625788688659668
moons,0,1-rectified,4500,2.6697278022766113
moons,0,1-rectified,5000,2.4315028190612793
moons,0,1-rectified,5500,2.6943564414978027
moons,0,1-rectified,5999,2.5457923412323
moons,0,2-rectified,0,1.726935625076294
moons,0,2-rectified,500,0.004301975481212139
moons,0,2-rectified,1000,0.0008858958026394248
moons,0,2-rectified,1500,0.0006591498968191445
moons,0,2-rectified,2000,0.00025254784850403666
moons,0,2-rectified,2500,0.0006125387153588235
moons,0,2-rectified,3000,0.00015067668573465198
moons,0,2-rectified,3500,0.00013230722106527537
moons,0,2-rectified,4000,0.00011285014625173062
moons,0,2-rectified,4500,6.458010466303676e-05
moons,0,2-rectified,5000,4.7200173867167905e-05
moons,0,2-rectified,5500,5.6878856412367895e-05
moons,0,2-rectified,5999,9.19329104362987e-05
moons,0,diffusion-vp,0,6.317237854003906
moons,0,diffusion-vp,500,4.5845417976379395
moons,0,diffusion-vp,1000,4.260228157043457
moons,0,diffusion-vp,1500,4.30100679397583
moons,0,diffusion-vp,2000,4.169960021972656
moons,0,diffusion-vp,2500,4.304211616516113
moons,0,diffusion-vp,3000,4.303466320037842
moons,0,diffusion-vp,3500,4.216279029846191
moons,0,diffusion-vp,4000,4.108676910400391
moons,0,diffusion-vp,4500,4.187769412994385
moons,0,diffusion-vp,5000,3.856788158416748
moons,0,diffusion-vp,5500,4.311266899108887
moons,0,diffusion-vp,5999,3.955430030822754
moons,1,1-rectified,0,4.914372444152832
moons,1,1-rectified,500,2.748704433441162
moons,1,1-rectified,1000,2.8105154037475586
