dataset,seed,model,wall_clock_s
8gaussians,0,1-rectified,14.71772562499973
8gaussians,0,2-rectified,13.587362250000297
8gaussians,0,diffusion-vp,13.028673374996288
8gaussians,1,1-rectified,13.270518666999124
8gaussians,1,2-rectified,14.116163333994336
8gaussians,1,diffusion-vp,12.888444249998429
8gaussians,2,1-rectified,13.341153708002821
8gaussians,2,2-rectified,13.409631624999747
8gaussians,2,diffusion-vp,13.077561209000123
moons,0,1-rectified,12.950585124999634
moons,0,2-rectified,12.682480249997752
moons,0,diffusion-vp,12.227349541004514
moons,1,1-rectified,12.514242874996853
moons,1,2-rectified,12.67127312500088
moons,1,diffusion-vp,12.377698292002606
moons,2,1-rectified,12.581239207996987
moons,2,2-rectified,12.887348125004792
moons,2,diffusion-vp,12.26681020900287
